auto_id,animal_name,scientific_name,location
1,African Lion,Panthera leo,"North Carolina Zoo - Asheboro, NC, USA"
2,American Alligator,Alligator mississippiensis,"North Carolina Zoo - Asheboro, NC, USA"
3,Arctic Fox,Vulpes lagopus,"North Carolina Zoo - Asheboro, NC, USA"
4,Bateleur,Terathopius ecaudatus,"North Carolina Zoo - Asheboro, NC, USA"
5,Black-tailed Rattlesnake,Crotalus molossus,"North Carolina Zoo - Asheboro, NC, USA"
6,Bobcat,Lynx rufus,"North Carolina Zoo - Asheboro, NC, USA"
7,Cacomistle,Bassariscus sumichrasti,"North Carolina Zoo - Asheboro, NC, USA"
8,California Sea Lion,Zalophus californianus,"North Carolina Zoo - Asheboro, NC, USA"
9,Canvasback (female),Aythya valisineria,"North Carolina Zoo - Asheboro, NC, USA"
10,Canvasback (male),Aythya valisineria,"North Carolina Zoo - Asheboro, NC, USA"
11,Central African Rock Python,Python sebae,"North Carolina Zoo - Asheboro, NC, USA"
12,Chimpanzee,Pan troglodytes,"North Carolina Zoo - Asheboro, NC, USA"
13,Common Vampire Bat,Desmodus rotundus,"North Carolina Zoo - Asheboro, NC, USA"
14,Cougar,Puma concolor,"North Carolina Zoo - Asheboro, NC, USA"
15,Fennec Fox,Vulpes zerda,"North Carolina Zoo - Asheboro, NC, USA"
16,Golden-crested Myna,Ampeliceps coronatus,"North Carolina Zoo - Asheboro, NC, USA"
17,Grant's Zebra,Equus quagga boehmi,"North Carolina Zoo - Asheboro, NC, USA"
18,Hamadryas Baboon,Papio hamadryas,"North Carolina Zoo - Asheboro, NC, USA"
19,Hottentot Teal,Anas hottentota,"North Carolina Zoo - Asheboro, NC, USA"
20,Nicobar Pigeon,Caloenas nicobarica,"North Carolina Zoo - Asheboro, NC, USA"
21,Ocelot,Leopardus pardalis,"North Carolina Zoo - Asheboro, NC, USA"
22,Ostrich (female),Struthio camelus,"North Carolina Zoo - Asheboro, NC, USA"
23,Parakeet Auklet,Aethia psittacula,"North Carolina Zoo - Asheboro, NC, USA"
24,Patas Monkey,Erythrocebus patas,"North Carolina Zoo - Asheboro, NC, USA"
25,Peregrine Falcon,Falco peregrinus,"North Carolina Zoo - Asheboro, NC, USA"
26,Polar Bear,Ursus maritimus,"North Carolina Zoo - Asheboro, NC, USA"
27,Red-billed Leiothrix,Leiothrix lutea,"North Carolina Zoo - Asheboro, NC, USA"
28,Red-footed Tortoise,Chelonoidis carbonarius,"North Carolina Zoo - Asheboro, NC, USA"
29,Reticulated Giraffe,Giraffa camelopardalis reticulata,"North Carolina Zoo - Asheboro, NC, USA"
30,Ruddy Duck,Oxyura jamaicensis,"North Carolina Zoo - Asheboro, NC, USA"
31,Serval,Leptailurus serval,"North Carolina Zoo - Asheboro, NC, USA"
32,Striped Mud Turtle,Kinosternon baurii,"North Carolina Zoo - Asheboro, NC, USA"
33,Unidentified Bird,,"North Carolina Zoo - Asheboro, NC, USA"
34,Victoria Crowned Pigeon,Goura victoria,"North Carolina Zoo - Asheboro, NC, USA"
35,Warthog,Phacochoerus sp.,"North Carolina Zoo - Asheboro, NC, USA"
36,Western Lowland Gorilla,Gorilla gorilla gorilla,"North Carolina Zoo - Asheboro, NC, USA"
37,White-backed Duck,Thalassornis leuconotus,"North Carolina Zoo - Asheboro, NC, USA"
38,Wood Duck (female & male),Aix sponsa,"North Carolina Zoo - Asheboro, NC, USA"
39,Alligator Snapping Turtle,Macrochelys temminckii,"Abilene Zoo - Abilene, TX, USA"
40,American Alligator,Alligator mississippiensis,"Abilene Zoo - Abilene, TX, USA"
41,American Flamingo (juvenile),Phoenicopterus ruber,"Abilene Zoo - Abilene, TX, USA"
42,American Flamingo,Phoenicopterus ruber,"Abilene Zoo - Abilene, TX, USA"
43,American Wigeon (female),Mareca americana,"Abilene Zoo - Abilene, TX, USA"
44,Bateleur,Terathopius ecaudatus,"Abilene Zoo - Abilene, TX, USA"
45,Bengal Tiger (white),Panthera tigris tigris,"Abilene Zoo - Abilene, TX, USA"
46,Black-bellied Whistling Duck,Dendrocygna autumnalis,"Abilene Zoo - Abilene, TX, USA"
47,Black-necked Spitting Cobra,Naja nigricollis,"Abilene Zoo - Abilene, TX, USA"
48,Black-necked Swan,Cygnus melanocoryphus,"Abilene Zoo - Abilene, TX, USA"
49,Blue-black Grosbeak,Cyanoloxia cyanoides,"Abilene Zoo - Abilene, TX, USA"
50,Brazilian Lancehead,Bothrops moojeni,"Abilene Zoo - Abilene, TX, USA"
51,Caatinga Lancehead,Bothrops erythromelas,"Abilene Zoo - Abilene, TX, USA"
52,Cape Coral Cobra,Aspidelaps lubricus lubricus,"Abilene Zoo - Abilene, TX, USA"
53,Central American Bushmaster,Lachesis stenophrys,"Abilene Zoo - Abilene, TX, USA"
54,Domestic Greylag Goose,Anser anser,"Abilene Zoo - Abilene, TX, USA"
55,Eastern Green Mamba,Dendroaspis angusticeps,"Abilene Zoo - Abilene, TX, USA"
56,Franklin's Gull,Leucophaeus pipixcan,"Abilene Zoo - Abilene, TX, USA"
57,Fulvous Whistling Duck,Dendrocygna bicolor,"Abilene Zoo - Abilene, TX, USA"
58,Grant's Zebra,Equus quagga boehmi,"Abilene Zoo - Abilene, TX, USA"
59,Greater Rhea,Rhea americana,"Abilene Zoo - Abilene, TX, USA"
60,Guanaco,Lama guanicoe,"Abilene Zoo - Abilene, TX, USA"
61,Helmeted Guineafowl,Numida meleagris,"Abilene Zoo - Abilene, TX, USA"
62,Jameson's Mamba,Dendroaspis jamesoni,"Abilene Zoo - Abilene, TX, USA"
63,King Cobra,Ophiophagus hannah,"Abilene Zoo - Abilene, TX, USA"
64,Lilac-crowned Amazon,Amazona finschi,"Abilene Zoo - Abilene, TX, USA"
65,Mallard (nonbreeding male),Anas platyrhynchos,"Abilene Zoo - Abilene, TX, USA"
66,Mallard (female),Anas platyrhynchos,"Abilene Zoo - Abilene, TX, USA"
67,Maned Wolf,Chrysocyon brachyurus,"Abilene Zoo - Abilene, TX, USA"
68,Mangrove Snake,Boiga dendrophila,"Abilene Zoo - Abilene, TX, USA"
69,Meller's Chameleon,Trioceros melleri,"Abilene Zoo - Abilene, TX, USA"
70,Mexican Beaded Lizard,Heloderma horridum,"Abilene Zoo - Abilene, TX, USA"
71,Mexican Pine Snake,Pituophis deppei,"Abilene Zoo - Abilene, TX, USA"
72,Mississippi Kite,Ictinia mississippiensis,"Abilene Zoo - Abilene, TX, USA"
73,Northern Shoveler (female),Spatula clypeata,"Abilene Zoo - Abilene, TX, USA"
74,Painted Bunting (male),Passerina ciris,"Abilene Zoo - Abilene, TX, USA"
75,Plumed Basilisk,Basiliscus plumifrons,"Abilene Zoo - Abilene, TX, USA"
76,Prehensile-tailed Porcupine,Coendou prehensilis,"Abilene Zoo - Abilene, TX, USA"
77,Red Spitting Cobra,Naja pallida,"Abilene Zoo - Abilene, TX, USA"
78,Redhead (female),Aythya americana,"Abilene Zoo - Abilene, TX, USA"
79,Reticulated Giraffe,Giraffa camelopardalis reticulata,"Abilene Zoo - Abilene, TX, USA"
80,Ridge-nosed Rattlesnake,Crotalus willardi,"Abilene Zoo - Abilene, TX, USA"
81,Ring-necked Dove,Streptopelia capicola,"Abilene Zoo - Abilene, TX, USA"
82,Sandhill Crane,Antigone canadensis,"Abilene Zoo - Abilene, TX, USA"
83,Scarlet Macaw,Ara macao,"Abilene Zoo - Abilene, TX, USA"
84,Scissor-tailed Flycatcher,Tyrannus forficatus,"Abilene Zoo - Abilene, TX, USA"
85,Southeast African Lion (male),Panthera leo,"Abilene Zoo - Abilene, TX, USA"
86,Southeast African Lion (female),Panthera leo,"Abilene Zoo - Abilene, TX, USA"
87,Southern Screamer,Chauna torquata,"Abilene Zoo - Abilene, TX, USA"
88,Swainson's Hawk,Buteo swainsoni,"Abilene Zoo - Abilene, TX, USA"
89,Texas Map Turtle,Graptemys versa,"Abilene Zoo - Abilene, TX, USA"
90,Timber Rattlesnake,Crotalus horridus horridus,"Abilene Zoo - Abilene, TX, USA"
91,Tokay Gecko,Gekko gecko,"Abilene Zoo - Abilene, TX, USA"
92,West African Gaboon Viper,Bitis rhinoceros,"Abilene Zoo - Abilene, TX, USA"
93,Western Diamondback Rattlesnake,Crotalus atrox,"Abilene Zoo - Abilene, TX, USA"
94,Wood Duck (female),Aix sponsa,"Abilene Zoo - Abilene, TX, USA"
95,Yarrow's Spiny Lizard,Sceloporus jarrovii,"Abilene Zoo - Abilene, TX, USA"
96,Yellow-billed Stork,Mycteria ibis,"Abilene Zoo - Abilene, TX, USA"
97,African Spurred Tortoise,Centrochelys sulcata,"Zoosiana - Broussard, LA, USA"
98,Babydoll Southdown Sheep,Ovis aries,"Zoosiana - Broussard, LA, USA"
99,Ball Python,Python regius,"Zoosiana - Broussard, LA, USA"
100,Binturong,Arctictis binturong,"Zoosiana - Broussard, LA, USA"
101,Blackbuck (male),Antilope cervicapra,"Zoosiana - Broussard, LA, USA"
102,Domestic Goat,Capra hircus,"Zoosiana - Broussard, LA, USA"
103,Domestic Sheep (juvenile),Ovis aries,"Zoosiana - Broussard, LA, USA"
104,Dromedary Camel,Camelus dromedarius,"Zoosiana - Broussard, LA, USA"
105,Ellipsen Waterbuck,Kobus ellipsiprymnus,"Zoosiana - Broussard, LA, USA"
106,Giraffe,Giraffa camelopardalis,"Zoosiana - Broussard, LA, USA"
107,Grant's Zebra,Equus quagga boehmi,"Zoosiana - Broussard, LA, USA"
108,Greater Rhea,Rhea americana,"Zoosiana - Broussard, LA, USA"
109,Green Iguana,Iguana iguana,"Zoosiana - Broussard, LA, USA"
110,Indian Peafowl (white female),Pavo cristatus,"Zoosiana - Broussard, LA, USA"
111,Llama,Lama glama,"Zoosiana - Broussard, LA, USA"
112,Patagonian Cavy,Dolichotis patagonum,"Zoosiana - Broussard, LA, USA"
113,Sandhill Crane,Antigone canadensis,"Zoosiana - Broussard, LA, USA"
114,Scarlet Macaw,Ara macao,"Zoosiana - Broussard, LA, USA"
115,Southern Pochard (female),Netta erythrophthalma,"Zoosiana - Broussard, LA, USA"
116,Tiger (white),Panthera tigris,"Zoosiana - Broussard, LA, USA"
117,Yellow Anaconda,Eunectes notaeus,"Zoosiana - Broussard, LA, USA"
